Months
month|year|start_date|end_date  |num_at_meeting|staff_at_breakfast|tickets_claimed
    1|2024|          |          |              |                  |               
    2|2024|          |          |              |                  |             99
    3|2024|          |          |            21|                12|             70
    4|2024|          |          |            12|                 9|             42
   10|2024|          |          |              |                  |               
   11|2024|          |          |             8|                11|             44
   12|2024|          |          |             9|                11|             48
    1|2025|          |          |            12|                13|             54
    2|2025|          |          |            12|                10|             64
    3|2025|          |          |             9|                10|             59
    4|2025|          |          |             8|                11|             37
   10|2025|          |          |             5|                  |               
   11|2025|Nov 02, 25|Nov 28, 25|            14|                14|             61
   12|2025|Nov 29, 25|Dec 31, 25|            13|                 8|             54
    1|2026|Jan 01, 26|Jan 26, 26|            14|                12|             64
    2|2026|Jan 27, 26|          |              |                  |               

Globals
name             |int|decimal
adv ticket price |  5|       
door ticket price|  6|       

Accounts
account       |section  |category       |type    
adv tickets   |Cash Flow|Breakfast      |Revenue 
door tickets  |Cash Flow|Breakfast      |Revenue 
50/50         |Cash Flow|Breakfast      |Revenue 
bf donations  |Cash Flow|Breakfast      |Revenue 
Sam's card    |Cash Flow|Breakfast      |Expenses
bf supplies   |Cash Flow|Breakfast      |Expenses
expense, bf   |Cash Flow|Breakfast      |Expenses
120 Club      |Cash Flow|Other          |Revenue 
revenue       |Cash Flow|Other          |Revenue 
donations     |Cash Flow|Other          |Revenue 
meeting dinner|Cash Flow|Other          |Expenses
xmas donation |Cash Flow|Other          |Expenses
expense       |Cash Flow|Other          |Expenses
petty cash    |Cash Flow|Other          |Expenses
bank          |Balance  |Current Balance|Bank    
cash          |Balance  |Current Balance|Cash    
cash out      |         |               |Expenses
cash in       |         |               |Revenue 

Starts
account     |detail  |coin|b1|b5|b10|b20|b50|b100
door tickets|start   |   0|20| 2|  2|  0|  0|   0
50/50       |start   |   0|10| 2|  2|  0|  0|   0
cash        |minimums|   4|15| 6|  6| 12|  6|   0

Reconcile
date      |account       |detail              |coin| b1|b5|b10|b20|b50|b100|donations
Dec 11, 25|meeting dinner|Bruce, soda&toppings|1.50|  3| 2|  2|  0|  0|   0|        0
Dec 11, 25|bf supplies   |Ernie, P.O. 25121W  |   0|  3| 1|  0|  2|  0|   0|        0
Dec 11, 25|bf supplies   |Marvin, P.O. 25121S |0.59|  0| 0|  0|  3|  0|   1|        0
Dec 11, 25|cash          |w/o starts          |2.10|  0| 0|  3|  1| 10|  20|        0
Dec 11, 25|cash          |w/starts            |2.10| 40| 8|  9|  1| 10|  20|        0
Dec 13, 25|door tickets  |end                 |   0| 26| 1|  1|  3|  0|   0|        3
Dec 13, 25|50/50         |end                 |   0| 16| 2|  1|  2|  0|   0|        0
Dec 13, 25|adv tickets   |Steven              |   0|  0| 1|  3|  3|  0|   0|        0
Dec 13, 25|adv tickets   |Ernie               |   0|  5| 1|  0|  2|  0|   0|        0
Dec 13, 25|adv tickets   |Bruce               |   0|  0| 3|  1|  0|  0|   0|        0
Dec 13, 25|adv tickets   |Marvin              |   0| 10| 4|  1|  1|  0|   0|       10
Dec 13, 25|cash          |w/o starts          |2.10| 27| 8|  6| 12| 10|  20|        0
Dec 13, 25|cash          |w/starts            |2.10| 67|16| 12| 12| 10|  20|        0
Dec 18, 25|xmas donation |Liam                |   0|  0| 0|  0|  0|  0|   1|        0
Dec 18, 25|xmas donation |Scott               |   0|  0| 0|  0|  0|  0|   1|        0
Dec 18, 25|xmas donation |Janet               |   0|  0| 0|  0|  0|  0|   1|        0
Dec 18, 25|xmas donation |Labor of Love       |   0|  0| 0|  0|  0|  0|   2|        0
Dec 19, 25|120 Club      |Semi-annual donation|0.18|  4| 2|  0| 16|  0|   2|        0
Dec 19, 25|cash          |w/o starts          |2.28| 31|10|  6| 28| 10|  17|        0
Dec 19, 25|cash          |w/starts            |2.28| 71|18| 12| 28| 10|  17|        0
Dec 19, 25|cash          |cash out            |   0| 12| 4|  0| 16|  3|   0|        0
Dec 19, 25|cash          |cash in             |   2|  0| 0|  0|  0|  0|   5|        0
Dec 19, 25|cash          |w/o starts          |4.28| 19| 6|  6| 12|  7|  22|        0
Dec 19, 25|cash          |w/starts            |4.28| 59|14| 12| 12|  7|  22|        0
Jan 06, 26|petty cash    |duplicate keys      |0.10|  2| 0|  1|  1|  0|   0|        0
Jan 08, 26|meeting dinner|purchased by Tom    |   0|  2| 0|  1|  1|  0|   0|        0
Jan 10, 26|door tickets  |end                 |   0|  4| 4|  4|  5|  0|   0|        0
Jan 10, 26|adv tickets   |Marvin              |   0|  0| 1|  0|  1|  1|   0|        0
Jan 10, 26|adv tickets   |Paul                |   0|  0| 0|  0|  0|  1|   0|        0
Jan 10, 26|adv tickets   |Mark                |   0|  0| 2|  0|  3|  0|   0|        0
Jan 10, 26|adv tickets   |Tom                 |   0| 30| 0|  0|  0|  0|   0|        0
Jan 10, 26|adv tickets   |Steven              |   0|  0| 0|  0|  1|  0|   0|        0
Jan 10, 26|adv tickets   |Bruce               |   0|  5| 1|  2|  0|  0|   0|        0
Jan 10, 26|50/50         |end                 |   0| 47| 5|  3|  0|  0|   0|        0
Jan 10, 26|bf supplies   |Bruce, Walmart order|0.17|  1| 0|  2|  0|  1|   1|        0
Jan 12, 26|bf supplies   |Marvin, P.O. 26011S |0.55|  2| 0|  0|  2|  0|   1|        0
Jan 12, 26|cash          |w/o starts          |3.46| 78|19|  9| 18|  8|  20|        0
Jan 12, 26|cash          |w/starts            |3.46|108|23| 13| 18|  8|  20|        0
Jan 13, 26|bf supplies   |Bruce, 12 aprons    |0.15|  4| 0|  0|  3|  0|   0|        0
Jan 13, 26|cash          |w/o starts          |3.31| 74|19|  9| 15|  8|  20|        0
Jan 13, 26|cash          |w/starts            |3.31|104|23| 13| 15|  8|  20|        0
Jan 13, 26|donations     |anonymous           |   0|  0| 0|  0|  0|  1|   0|        0
Jan 13, 26|cash          |w/o starts          |3.31| 74|19|  9| 15|  9|  20|        0
Jan 13, 26|cash          |w/starts            |3.31|104|23| 13| 15|  9|  20|        0
Jan 13, 26|cash          |cash out            |   0| 56|13|  2|  3|  2|   0|        0
Jan 13, 26|cash          |cash in             |   1|  0| 0|  0|  0|  0|   3|        0
Jan 13, 26|cash          |w/o starts          |4.31| 18| 6|  7| 12|  7|  23|        0
Jan 13, 26|cash          |w/starts            |4.31| 48|10| 11| 12|  7|  23|        0
Jan 15, 26|expense       |Mardi-Gras donation |   0|  0| 0|  0|  0|  0|   2|        0
Jan 15, 26|cash          |w/o starts          |4.31| 18| 6|  7| 12|  7|  21|        0
Jan 15, 26|cash          |w/starts            |4.31| 48|10| 11| 12|  7|  21|        0
Feb 03, 26|bf supplies   |Steven, PO 26011S   |0.36|  1| 1|  0|  2|  1|   0|        0
Feb 03, 26|bf supplies   |Steven, PO 26011G   |   0|  0| 0|  0|  1|  0|   0|        0
Feb 03, 26|petty cash    |Signs               |0.70|  4| 1|  1|  0|  0|   0|        0
Feb 14, 26|expense, bf   |Donuts              |   0|  0| 0|  0|  1|  0|   1|        0
Feb 14, 26|door tickets  |end                 |   0|  5| 3|  1|  6|  1|   0|       20
Feb 14, 26|50/50         |                    |   0| 31| 5|  3|  1|  0|   0|        0
Feb 14, 26|adv tickets   |Steven              |   0|  0| 0|  0|  0|  1|   0|        0
Feb 14, 26|adv tickets   |Tom                 |   0|  0| 1|  1|  2|  0|   0|        0
Feb 14, 26|adv tickets   |Marvin              |   0|  0| 0|  1|  2|  0|   0|        0
Feb 14, 26|adv tickets   |David               |   0|  0| 0|  3|  5|  0|   0|        0
Feb 14, 26|adv tickets   |Bruce               |   0|  5| 2|  0|  0|  0|   0|        0
Feb 14, 26|adv tickets   |Mark                |   0|  0| 0|  1|  2|  0|   0|        0
Feb 17, 26|bf supplies   |Ernie, PO 26021W    |   0|  4| 1|  0|  1|  0|   0|        0
Feb 17, 26|cash          |w/o starts          |3.25| 20|10| 12| 25|  8|  20|        0
Feb 17, 26|cash          |w/starts            |3.25| 50|14| 16| 25|  8|  20|        0

